servRatePumpservRate    ArrivalRate StagionalitamaxPlaces   | toServe                  lost                     AvgQueueLen_vehicleQueue AvgQueueLen_cashier      AvgWait_vehicleQueue     AvgWait_cashier          Util_A                   Util_B                   Util_C                   Util_D                   
5.0         1.0         6.0         0.5         3.0         | 229.800 ± 3.200          10.250 ± 1.023           0.265 ± 0.015            0.182 ± 0.004            1.638 ± 0.082            1.136 ± 0.019            0.198 ± 0.009            0.349 ± 0.008            0.200 ± 0.009            0.345 ± 0.009            
7.0         2.0         4.0         0.2         3.0         | 263.650 ± 2.825          94.210 ± 3.727           1.193 ± 0.028            0.481 ± 0.010            6.472 ± 0.188            2.618 ± 0.047            0.475 ± 0.012            0.520 ± 0.009            0.492 ± 0.013            0.531 ± 0.009            
7.0         2.0         4.0         0.5         3.0         | 260.020 ± 2.769          95.310 ± 3.237           1.160 ± 0.028            0.467 ± 0.009            6.360 ± 0.172            2.580 ± 0.044            0.476 ± 0.013            0.517 ± 0.009            0.472 ± 0.013            0.519 ± 0.009            
7.0         2.0         5.0         0.2         3.0         | 237.540 ± 2.568          47.380 ± 2.693           0.824 ± 0.031            0.411 ± 0.008            4.929 ± 0.182            2.486 ± 0.042            0.394 ± 0.013            0.487 ± 0.009            0.405 ± 0.012            0.490 ± 0.009            
7.0         2.0         5.0         0.5         3.0         | 231.950 ± 2.784          51.610 ± 3.213           0.836 ± 0.032            0.406 ± 0.009            5.123 ± 0.190            2.517 ± 0.045            0.389 ± 0.013            0.475 ± 0.009            0.392 ± 0.013            0.474 ± 0.008            
7.0         2.0         6.0         0.2         3.0         | 211.150 ± 2.307          26.510 ± 2.008           0.610 ± 0.029            0.368 ± 0.008            4.109 ± 0.189            2.505 ± 0.044            0.335 ± 0.012            0.454 ± 0.009            0.327 ± 0.012            0.448 ± 0.008            
7.0         2.0         6.0         0.5         3.0         | 211.420 ± 2.444          26.030 ± 1.769           0.588 ± 0.025            0.363 ± 0.008            3.963 ± 0.169            2.458 ± 0.048            0.324 ± 0.010            0.445 ± 0.009            0.323 ± 0.012            0.445 ± 0.009            
7.0         1.0         4.0         0.2         3.0         | 280.170 ± 2.619          78.880 ± 3.925           1.007 ± 0.033            0.223 ± 0.004            5.138 ± 0.191            1.144 ± 0.017            0.421 ± 0.013            0.488 ± 0.010            0.424 ± 0.012            0.487 ± 0.009            
7.0         1.0         4.0         0.5         3.0         | 275.430 ± 3.179          79.280 ± 3.273           0.992 ± 0.027            0.220 ± 0.005            5.129 ± 0.153            1.149 ± 0.018            0.415 ± 0.013            0.483 ± 0.009            0.424 ± 0.013            0.481 ± 0.010            
7.0         1.0         5.0         0.2         3.0         | 246.910 ± 2.735          40.040 ± 2.616           0.698 ± 0.028            0.194 ± 0.004            4.036 ± 0.171            1.128 ± 0.016            0.346 ± 0.012            0.453 ± 0.008            0.347 ± 0.011            0.448 ± 0.009            
7.0         1.0         5.0         0.5         3.0         | 246.100 ± 2.948          42.190 ± 2.624           0.728 ± 0.028            0.194 ± 0.003            4.221 ± 0.169            1.133 ± 0.018            0.345 ± 0.012            0.448 ± 0.009            0.358 ± 0.013            0.444 ± 0.009            
7.0         1.0         6.0         0.2         3.0         | 219.820 ± 2.637          20.060 ± 1.873           0.477 ± 0.024            0.170 ± 0.004            3.095 ± 0.154            1.111 ± 0.020            0.279 ± 0.011            0.418 ± 0.010            0.278 ± 0.013            0.413 ± 0.010            
7.0         1.0         6.0         0.5         3.0         | 214.980 ± 2.669          23.880 ± 1.882           0.522 ± 0.024            0.166 ± 0.003            3.456 ± 0.161            1.110 ± 0.017            0.285 ± 0.011            0.410 ± 0.010            0.284 ± 0.010            0.406 ± 0.008            
